end_time,ms_played,track_name,artist_name,album_name,url
2023-11-23 02:00:00,229435,Ucha Lamba Kad,Anand Raj Anand,Welcome,spotify:track:2hyYqX8IVVxFEFIUf0zZam
2023-11-23 02:10:00,357459,Saathiya,A.R. Rahman,Saathiya,spotify:track:78KKYDENYsw6jYfuEZsqJl
2023-11-23 02:20:00,206890,Dus Bahane,Shaan,Dus,spotify:track:1vBmaijoCBoqmwc3zs5n3s
2023-11-23 02:30:00,257441,Chor Bazaari,Neeraj Shridhar,Love Aaj Kal (Original Motion Picture Soundtrack),spotify:track:4gqHEia13bp5EFWGitiKWx
2023-11-23 02:40:00,302172,Kiya Kiya,Anand Raj Anand,Welcome,spotify:track:0YCPCY9WhQFMFtoSpj6dhL
2023-11-23 02:50:00,329077,Is This Love,Mohit Chauhan,Kismat Konnection - Original Motion Picture Soundtrack,spotify:track:0GVPRo9LEjxjT4C4o8BGot
2023-11-23 03:00:00,19660,Tu Meri Dost Hain,Benny Dayal,Yuvvraaj,spotify:track:02N5ZxOVugGQmKeIT0VXUx
2023-11-23 03:10:00,390286,Tere Naam,Alka Yagnik,Tere Naam,spotify:track:2NKkRdLnT1aI0W8YqtTkOu
2023-11-23 03:20:00,317479,Jhalak Dikhla Ja,Himesh Reshammiya,Aksar,spotify:track:43SKg10CCeaoyr7XSKfpTR
2023-11-23 03:30:00,191735,Aao Milo Chalo,Pritam,Jab We Met,spotify:track:6ocOeSjnWPcSTaSsi0zIdY
2023-11-23 03:40:00,30103,Kaise Mujhe,Benny Dayal,Ghajini,spotify:track:53DXM0bHfB7xkqJZYlksuh
2023-11-23 04:00:00,4450,Baamulaiza,Mika Singh,De Dana Dan,spotify:track:56aLd3VIL6vOYloB3nPbNj
2023-11-26 01:20:00,7270,De Dana Dan,Ad Boyz,De Dana Dan,spotify:track:3k8WLAvWeWWjPiIWgTESSx
2023-11-26 01:30:00,2280,Yeh Hum Aa Gaye Hain Kahaan,Madan Mohan,Veer - Zaara,spotify:track:7sSYkaAXRgnzoQYrGgrvlX
2023-11-26 01:40:00,56260,Titliaan Warga,Harrdy Sandhu,Titliaan Warga,spotify:track:37TjLqLaiOX1QmcKPgb3TC
2023-11-27 19:20:00,3052,Socha Hai,Farhan Akhtar,Rock On,spotify:track:7IjnfuMNfdrAXbefurdIIR
